OD;Prix d'appel 2nde ;Plein Tarif Loisir 2nde;1ère classe;Commentaires
LES ARCS DRAGUIGNAN-ST RAPHAEL VALESCURE;;8.2;13.0;
LILLE FLANDRES-DOUAI;;9.6;14.3;
CANNES-NICE VILLE;;9.8;14.8;
ANGERS ST LAUD-SAUMUR;;11.3;17.0;
CHAMBERY CHALLES LES EAUX-ANNECY;;12.6;18.5;
RUFFEC CHARENTE-POITIERS;;14.8;21.5;
DIJON VILLE-CHALON SUR SAONE;;15.0;22.5;
DUNKERQUE-BETHUNE;;16.0;23.0;
ANTIBES-LES ARCS DRAGUIGNAN;;16.5;24.0;
CROIX WASQUEHAL-ARRAS;;17.5;35.0;
LA BAULE ESCOUBLAC-NANTES;;18.5;26.5;
BEZIERS-CARCASSONNE;;18.5;27.0;
LANNION-LAMBALLE;;20.5;30.0;
ARCACHON-LIBOURNE;;20.5;30.0;
MIRAMAS-ORANGE;;20.5;30.0;
LIMOGES BENEDICTINS-BRIVE LA GAILLARDE;;21.0;32.0;
ANCENIS-SABLE;;21.5;31.0;
AIX LES BAINS LE REVARD-BOURG EN BRESSE;;22.0;32.0;
LYON PERRACHE-AIX LES BAINS LE REVARD;;25.0;37.0;
MARSEILLE ST CHARLES-LES ARCS DRAGUIGNAN;;26.0;39.0;
AGEN-BORDEAUX ST JEAN;;26.0;40.0;
DUNKERQUE-DOUAI;;27.0;40.0;
LYON PART DIEU-BELLEGARDE;;27.0;40.0;
SURGERES-CHATELLERAULT;;28.5;42.0;
GRENOBLE-LYON ST EXUPERY;;27.5;48.0;
LYON PART DIEU-BEAUNE;;31.0;45.0;
LA ROCHE SUR FORON-BOURG EN BRESSE;;32.0;46.0;
ANGERS ST LAUD-LE POULIGUEN;;33.0;47.0;
FACTURE BIGANOS-ST JEAN DE LUZ CIBOURE;;34.0;48.0;
GRENOBLE-MACON LOCHE TGV;;36.0;51.0;
MARSEILLE BLANCARDE-MONTELIMAR;;36.0;51.0;
ST JEAN DE MAURIENNE ARVAN-LYON ST EXUPERY;;37.0;52.0;
LE CROISIC-SABLE;;39.0;57.0;
MULHOUSE VILLE-MOUCHARD;;42.0;64.0;
NANTES-ST BRIEUC;;42.0;62.0;
CHERBOURG-EVREUX EMBRANCHEMENT;;44.0;64.0;
QUIMPERLE-VITRE;;45.0;66.0;
VALOGNES-MANTES LA JOLIE;;46.0;68.0;
ANGOULEME-MONTAUBAN VILLE BOURBON;20.0;53.0;78.0;
IRUN-ANGOULEME;;57.0;82.0;
AGEN-ST PIERRE DES CORPS;20.0;69.0;101.0;
AIX EN PROVENCE TGV-AIX LES BAINS LE REVARD;25.0;89.0;119.0;
POITIERS-TARBES;25.0;73.0;105.0;
AIX EN PROVENCE TGV-ANNECY;25.0;91.0;120.0;
MENTON-VENTIMIGLIA STAZIONE;;2.2;4.3;
BASEL SBB-MULHOUSE VILLE;;9.5;14.8;
MACON VILLE-MOUTIERS SALINS BRIDES;;40.0;61.0;
VERSAILLES CHANTIERS-VALOGNES;20.0;52.0;86.0;
VILLENEUVE LES AVIGNONS-ORANGE;;8.3;12.4;
VILLENEUVE LES AVIGNONS-MONTELIMAR;;16.5;23.5;
AVIGNON TGV-ANNECY;20.0;77.0;106.0;
NIMES-LE CREUSOT MONTCEAU MONTCHANIN;20.0;65.0;95.0;
VENDOME-BORDEAUX ST JEAN;20.0;66.0;98.0;
CHAMBERY CHALLES LES EAUX-CANNES;25.0;98.0;152.0;
NIMES-PARIS GARE DE LYON;25.0;114.0;160.0;
STRASBOURG-CHALON SUR SAONE;20.0;78.0;99.0;
METZ VILLE-AVIGNON TGV;25.0;114.0;149.0;
STRASBOURG-LYON PERRACHE;20.0;87.0;111.0;
THIONVILLE-AVIGNON TGV;25.0;121.0;155.0;
CHAMPAGNE ARDENNE-colmar;25.0;90.0;112.0;
MÂCON LOCHÉ TGV-MASSY PALAISEAU;20.0;83.0;120.0;
GRENOBLE-MASSY PALAISEAU;25.0;108.0;145.0;
paris austerlitz-Pornichet;25.0;87.0;126.0;
paris austerlitz-la-teste;25.0;102.0;134.0;
NANTES-TGV HAUTE PICARDIE;25.0;98.0;124.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
TGV HAUTE PICARDIE-REDON;;98.0;124.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
LILLE FLANDRES-ST MALO;25.0;110.0;140.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
AEROPORT CDG 2 TGV ROISSY-NANTES;20.0;85.0;122.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
LA BAULE ESCOUBLAC-MARNE LA VALLEE CHESSY;25.0;87.0;126.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
AGEN-MASSY TGV;25.0;108.0;140.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
MASSY TGV-ORTHEZ;25.0;112.0;147.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
FACTURE BIGANOS-ST PIERRE DES CORPS;20.0;60.0;85.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
NANTES - TGV HAUTE PICARDIE;25.0;98.0;127.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
CHAMPAGNE ARDENNE - RENNES;25.0;108.0;143.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
TGV HAUTE PICARDIE - AURAY;;106.0;140.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
TGV HAUTE PICARDIE - QUIMPER;25.0;106.0;147.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
ARRAS - ST MALO;25.0;116.0;147.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
MONTPELLIER - RENNES;30.0;148.0;188.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
LA TESTE - PARIS MONTPARNASSE 1 ET 2;25.0;118.0;173.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
CHAMPAGNE ARDENNE-CHALONS EN CHAMPAGNE;;11.3;16.5;
MANTES LA J. TGV-CONFLANS FDO TGV;;35.0;47.0;
MEUSE-NANCY VILLE;;23.5;33.0;
AVIGNON TGV-MONTPELLIER;;25.5;35.0;
EVREUX EMBRANCHEMENT-MARNE LA VALLEE CHESSY;15.0;38.0;48.0;
AEROPORT CDG 2 TGV ROISSY-ROUEN RIVE DROITE;15.0;40.0;48.0;
MACON VILLE-VALENCE;15.0;41.0;51.0;
LILLE FLANDRES-PARIS NORD;15.0;63.0;82.0;
CHAMPAGNE ARDENNE-TGV HAUTE PICARDIE;20.0;65.0;79.0;
AVIGNON TGV-MENTON;20.0;62.0;88.0;
CHAMPAGNE ARDENNE-LILLE EUROPE;20.0;80.0;96.0;
DIJON VILLE-EVREUX EMBRANCHEMENT;20.0;82.0;107.0;
CHAMPAGNE ARDENNE-ARRAS;20.0;82.0;107.0;
FONTAINEBLEAU AVON-LYON PART DIEU;25.0;81.0;110.0;
LYON ST EXUPERY-TGV HAUTE PICARDIE;25.0;106.0;146.0;
LA BAULE ESCOUBLAC-LILLE EUROPE;25.0;108.0;140.0;
LE CREUSOT MONTCEAU MONTCHANIN-DOUAI;25.0;111.0;142.0;
AGEN-CHALON SUR SAONE;25.0;109.0;147.0;
LE CROISIC-LYON PERRACHE;25.0;113.0;150.0;
GUINGAMP-ARRAS;25.0;119.0;153.0;
SURGERES-DOUAI;25.0;122.0;155.0;
NEUFCHATEAU-ANTIBES;25.0;124.0;161.0;
CHERBOURG-BOURG ST MAURICE;25.0;125.0;165.0;
ALBERTVILLE-BERNAY;25.0;125.0;165.0;
LILLE FLANDRES-VALENCE;;127.0;159.0;
LE POULIGUEN-GRENOBLE;25.0;125.0;165.0;
LILLE EUROPE-MOUTIERS SALINS BRIDES;25.0;127.0;167.0;
CHAMBERY CHALLES LES EAUX-ARRAS;25.0;127.0;167.0;
ST JEAN DE MAURIENNE ARVAN-LILLE EUROPE;;127.0;167.0;
LILLE FLANDRES-ST JEAN DE MAURIENNE ARVAN;;127.0;167.0;
DUNKERQUE-MOUTIERS SALINS BRIDES;25.0;127.0;167.0;
LANDRY-ARRAS;25.0;127.0;167.0;
NANTES-BOURG ST MAURICE;25.0;127.0;167.0;
MODANE-RENNES;25.0;132.0;170.0;
GUINGAMP-ST GERVAIS LES BAINS LE FAYET;30.0;137.0;179.0;
GUINGAMP-CLUSES  74;30.0;137.0;179.0;
CHAMBERY CHALLES LES EAUX-AURAY;30.0;137.0;179.0;
ANNECY-AURAY;30.0;137.0;179.0;
LILLE FLANDRES-MONTAUBAN VILLE BOURBON;30.0;144.0;174.0;
ORTHEZ - PARIS MONTPARNASSE 1 ET 2;25.0;123.0;173.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
MASSY TGV - LOURDES;25.0;128.0;173.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
ANGOULEME - FUTUROSCOPE;;25.5;38.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
BORDEAUX ST JEAN - FUTUROSCOPE;;50.0;74.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
LE MANS - LANNION;;56.0;83.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
TOURS - BORDEAUX ST JEAN;20.0;60.0;89.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
LE MANS - LANDERNEAU;;67.0;95.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
AEROPORT CDG2 TGV ROISSY - MORLAIX;20.0;99.0;138.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
MASSY TGV - ROSPORDEN;20.0;103.0;147.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
ANGERS ST LAUD-SABLE;;12.1;18.0;
VANNES-REDON;;13.2;20.0;
METZ VILLE-TOUL;;12.9;20.5;
GUINGAMP-MORLAIX;;13.5;19.5;
DOL-RENNES;;13.6;20.0;
MOUCHARD-MONTBELIARD;;16.0;20.5;
NANTES-LA ROCHE SUR YON;;18.0;24.0;
BELLEGARDE-EVIAN LES BAINS;;17.5;25.0;
BIARRITZ-MORCENX;;19.0;27.0;
LEPIN LE LAC LA BAUCHE-MOUTIERS SALINS BRIDES;;21.0;31.0;
ALBERTVILLE-BOURG EN BRESSE;;22.0;28.5;
RENNES-ST BRIEUC;;21.5;31.0;
CHAMBERY CHALLES LES EAUX-LYON ST EXUPERY;;22.5;42.0;
DUNKERQUE-ARRAS;;23.5;35.0;
CHAMBERY CHALLES LES EAUX-CLUSES  74;;24.0;36.0;
LYON PART DIEU-CHALON SUR SAONE;;27.5;41.0;
LA ROCHELLE VILLE-FUTUROSCOPE;;30.0;44.0;
ST JEAN DE MAURIENNE ARVAN-MACON LOCHE TGV;;40.0;61.0;
GUINGAMP-VITRE;;32.0;46.0;
EVREUX EMBRANCHEMENT-LISON;;35.0;49.0;
CHAMBERY CHALLES LES EAUX-VALENCE TGV;;36.0;66.0;
LE TEIL-MARSEILLE BLANCARDE;;36.0;51.0;
ST JEAN DE MAURIENNE ARVAN-LYON PART DIEU;;37.0;52.0;
AIX EN PROVENCE TGV-CANNES;;38.0;54.0;
BREAUTE BEUZEVILLE-VERSAILLES CHANTIERS;;38.0;54.0;
LE MANS-SAVENAY;;39.0;55.0;
BAYONNE-LIBOURNE;;41.0;58.0;
LAVAL-LANNION;;42.0;61.0;
CARENTAN-MANTES LA J. TGV;;43.0;63.0;
ST JEAN DE LUZ CIBOURE-LIBOURNE;;43.0;63.0;
CHATEAUROUX-JUVISY;15.0;43.0;65.0;
LANDRY-LYON PART DIEU;;45.0;66.0;
LE POULIGUEN-ST PIERRE DES CORPS;;46.0;67.0;
VILLENEUVE LES AVIGNONS-ST RAPHAEL VALESCURE;15.0;46.0;67.0;
GUINGAMP-NANTES;;46.0;67.0;
BREST-VITRE;;46.0;68.0;
LIBOURNE-TOULOUSE MATABIAU;15.0;47.0;69.0;
ANGOULEME-BAYONNE;;52.0;77.0;
RUFFEC CHARENTE-BAYONNE;;55.0;82.0;
AVIGNON TGV-CHAMBERY CHALLES LES EAUX;20.0;69.0;104.0;
BAYONNE-CHATELLERAULT;;68.0;100.0;
POITIERS-TOULOUSE MATABIAU;25.0;72.0;103.0;
LOURDES-CHATELLERAULT;;73.0;105.0;
LEPIN LE LAC LA BAUCHE-ROUEN RIVE DROITE;;121.0;160.0;
CARCASSONNE-PERPIGNAN;;25.0;38.0;
MACON VILLE-LANDRY;15.0;46.0;67.0;
AVIGNON TGV-MIRAMAS;;15.5;22.0;
LISON-MASSY PALAISEAU;20.0;52.0;86.0;
CHERBOURG-MASSY PALAISEAU;20.0;52.0;86.0;
GENEVE-VALENCE;;49.0;75.0;
NIMES-AEROPORT CDG 2 TGV ROISSY;25.0;114.0;160.0;
AVIGNON TGV-MARNE LA VALLEE CHESSY;25.0;116.0;162.0;
AVIGNON TGV-VERSAILLES CHANTIERS;25.0;116.0;162.0;
MASSY TGV-LYON PART DIEU;25.0;97.0;133.0;
LYON PART DIEU-MASSY PALAISEAU;25.0;97.0;133.0;
LYON PERRACHE-MASSY PALAISEAU;25.0;97.0;133.0;
LYON ST EXUPERY-MANTES LA J. TGV;;97.0;133.0;
CAEN-MANTES LA JOLIE;;42.0;51.0;
DOLE VILLE-BELFORT;;30.0;44.0;
STRASBOURG-MASSY TGV;25.0;107.0;143.0;
STRASBOURG-LAVAL;30.0;141.0;182.0;
PARIS EST-SELESTAT;25.0;112.0;150.0;
CULMONT CHALINDREY-ST RAPHAEL VALESCURE;25.0;124.0;161.0;
CULMONT CHALINDREY-carcassonne;25.0;101.0;131.0;
Nancy ville-SETE;25.0;118.0;152.0;
ST JEAN DE MAURIENNE ARVAN-MASSY PALAISEAU;25.0;111.0;149.0;
paris austerlitz-rennes;20.0;80.0;113.0;
paris austerlitz-Les Sables d'Olonne;25.0;85.0;122.0;
paris austerlitz-arcachon;25.0;102.0;134.0;
paris austerlitz-futuroscope;20.0;75.0;107.0;
TGV HAUTE PICARDIE-VANNES;;106.0;134.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
TGV HAUTE PICARDIE-AURAY;;106.0;134.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
LORRAINE TGV-FUTUROSCOPE;25.0;112.0;149.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
ANGOULEME-ARRAS;25.0;119.0;155.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
DOUAI-LIBOURNE;25.0;130.0;171.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
PAU-PARIS MONTPARNASSE 1 ET 2;25.0;112.0;147.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
MASSY TGV-ST BRIEUC;20.0;84.0;122.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
PARIS MONTPARNASSE 1 ET 2-ST JEAN DE LUZ CIBOURE;25.0;112.0;147.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
LYON PART DIEU-ST PIERRE DES CORPS;25.0;95.0;132.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
LAVAL-DOL;;26.5;39.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
PAU-FUTUROSCOPE;;70.0;102.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
LA TESTE-ST PIERRE DES CORPS;20.0;61.0;87.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
LANNION-PARIS MONTPARNASSE 1 ET 2;20.0;91.0;127.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
MASSY TGV-DOL;20.0;85.0;123.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
MASSY TGV-ST MALO;20.0;85.0;123.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
MARNE LA VALLEE CHESSY-ROSPORDEN;20.0;95.0;134.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
PARIS MONTPARNASSE 1 ET 2 - ST NAZAIRE;25.0;88.0;128.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
LAMBALLE - PARIS MONTPARNASSE 1 ET 2;20.0;94.0;136.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
PARIS MONTPARNASSE 1 ET 2 - VANNES;20.0;97.0;136.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
LE CROISIC - MARNE LA VALLEE CHESSY;25.0;88.0;128.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
AEROPORT CDG2 TGV ROISSY - VANNES;20.0;97.0;136.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
CONFLANS FIN D'OISE-MANTES LA JOLIE;;35.0;47.0;
MARNE LA VALLEE CHESSY-MASSY PALAISEAU;;35.0;47.0;
LE HAVRE-CONFLANS FDO TGV;;40.0;47.0;
CHAMPAGNE ARDENNE-AEROPORT CDG 2 TGV ROISSY;15.0;44.0;61.0;
LYON PART DIEU-ORANGE;;41.0;58.0;
VALENCE TGV-BELLEGARDE;;46.0;67.0;
CAEN-AEROPORT CDG 2 TGV ROISSY;15.0;57.0;69.0;
VALENCE TGV-BEAUNE;15.0;57.0;76.0;
AIX EN PROVENCE TGV-LYON PERRACHE;20.0;67.0;89.0;
CARCASSONNE-VALENCE TGV;20.0;65.0;95.0;
NIMES-BELLEGARDE;20.0;68.0;101.0;
MACON LOCHE TGV-MARSEILLE ST CHARLES;20.0;75.0;100.0;
CHAMPAGNE ARDENNE-DOUAI;20.0;80.0;96.0;
VALENCE-ANTIBES;20.0;73.0;107.0;
TOURS-CHAMPAGNE ARDENNE;25.0;83.0;110.0;
MEUSE-ST PIERRE DES CORPS;25.0;87.0;115.0;
NURIEUX-PARIS GARE DE LYON;25.0;89.0;127.0;
SAUMUR-LE CREUSOT MONTCEAU MONTCHANIN;25.0;95.0;135.0;
LE MANS-DOUAI;25.0;92.0;115.0;
LAVAL-DOUAI;25.0;97.0;124.0;
ANGERS ST LAUD-ARRAS;25.0;101.0;127.0;
DOUAI-ST PIERRE DES CORPS;25.0;101.0;134.0;
LAROCHE MIGENNES-MARSEILLE ST CHARLES;25.0;95.0;137.0;
LA ROCHE SUR FORON-MARNE LA VALLEE CHESSY;;109.0;150.0;
LA ROCHE SUR FORON-AEROPORT CDG 2 TGV ROISSY;;109.0;150.0;
MELUN-MARSEILLE ST CHARLES;25.0;105.0;148.0;
LILLE EUROPE-LE CREUSOT MONTCEAU MONTCHANIN;25.0;111.0;142.0;
LE HAVRE-VALENCE;25.0;112.0;154.0;
LE MANS-ANNECY;25.0;113.0;151.0;
TOURS-CHAMBERY CHALLES LES EAUX;25.0;114.0;151.0;
LYON ST EXUPERY-LILLE EUROPE;25.0;116.0;154.0;
LAVAL-VALENCE;25.0;116.0;151.0;
ROUEN RIVE DROITE-ALBERTVILLE;25.0;121.0;160.0;
ANGERS ST LAUD-LANDRY;25.0;120.0;161.0;
LE MANS-LA ROCHE SUR FORON;25.0;120.0;162.0;
LAMBALLE-LILLE EUROPE;25.0;119.0;153.0;
CAEN-LANDRY;25.0;125.0;165.0;
CHERBOURG-LANDRY;25.0;125.0;165.0;
CHERBOURG-ALBERTVILLE;25.0;125.0;165.0;
ANNECY-DOUAI;25.0;127.0;168.0;
QUIMPER-DOUAI;25.0;125.0;161.0;
ARRAS-AIX LES BAINS LE REVARD;25.0;127.0;167.0;
MODANE-NANTES;25.0;127.0;167.0;
AVIGNON TGV-ROUEN RIVE DROITE;25.0;129.0;177.0;
NANTES-VALENCE TGV;25.0;132.0;160.0;
AIME LA PLAGNE-RENNES;25.0;132.0;170.0;
LA ROCHE SUR FORON-RENNES;25.0;132.0;170.0;
MODANE-REDON;;137.0;179.0;
ST JEAN DE MAURIENNE ARVAN-REDON;;137.0;179.0;
LANDRY-REDON;30.0;137.0;179.0;
LA ROCHE SUR FORON-AURAY;30.0;137.0;179.0;
AIME LA PLAGNE-REDON;30.0;137.0;179.0;
AVIGNON-DOUAI;30.0;144.0;180.0;
LILLE FLANDRES-BIARRITZ;30.0;144.0;174.0;
AIX EN PROVENCE TGV-LILLE EUROPE;30.0;144.0;184.0;
BREST-MOUTIERS SALINS BRIDES;30.0;147.0;190.0;
BREST-CHAMBERY CHALLES LES EAUX;30.0;147.0;190.0;
QUIMPER-ST GERVAIS LES BAINS LE FAYET;30.0;147.0;190.0;
CARCASSONNE-LILLE EUROPE;30.0;150.0;188.0;
LILLE FLANDRES-BEZIERS;30.0;150.0;188.0;
LILLE FLANDRES-LES ARCS DRAGUIGNAN;;155.0;196.0;
AVIGNON-CARCASSONNE;15.0;54.0;69.0;
LILLE FLANDRES-MARNE LA VALLEE CHESSY;15.0;63.0;82.0;
CALAIS VILLE-PARIS NORD;15.0;66.0;86.0;
AVIGNON-LYON PART DIEU;15.0;51.0;68.0;
LYON PERRACHE-VALENCE TGV;;30.0;38.0;
DIJON VILLE-BESANCON VIOTTE;;24.5;33.0;
PARIS GARE DE LYON-PONTARLIER;20.0;82.0;109.0;
MACON VILLE-BESANCON FRANCHE-COMTE TGV;15.0;41.0;53.0;
NIMES-MACON VILLE;20.0;74.0;97.0;
NANCY VILLE-ST RAPHAEL VALESCURE;20.0;135.0;175.0;
METZ VILLE-CANNES;20.0;143.0;183.0;
DIJON VILLE-LILLE FLANDRES;20.0;111.0;144.0;
LILLE FLANDRES-MULHOUSE VILLE;20.0;136.0;175.0;
MACON VILLE-PERPIGNAN;25.0;84.0;124.0;
LILLE FLANDRES-NANCY VILLE;25.0;102.0;122.0;
LYON PART DIEU-MONTAUBAN VILLE BOURBON;25.0;103.0;139.0;
VENDOME VILLIERS SUR LOIR-PARIS MONTPARNASSE 1 ET 2;15.0;55.0;77.0;
MARNE LA VALLEE CHESSY-MARMANDE;25.0;108.0;140.0;
AEROPORT CDG 2 TGV ROISSY-BAYONNE;25.0;112.0;147.0;
MARNE LA VALLEE CHESSY-BAYONNE;25.0;112.0;147.0;
VERSAILLES CHANTIERS-VALENCE TGV;25.0;107.0;147.0;
MASSY TGV-BOURG ST MAURICE;25.0;118.0;161.0;
MARNE LA VALLEE CHESSY-AIME LA PLAGNE;25.0;118.0;161.0;
PARIS NORD-ANNEMASSE;25.0;108.0;152.0;
MASSY TGV-CLUSES  74;25.0;119.0;163.0;
CLUSES  74-PARIS NORD;25.0;119.0;163.0;
PARIS NORD-ARRAS;15.0;50.0;61.0;
AVIGNON-NIMES;;15.5;21.0;
AVIGNON-CANNES;;57.0;82.0;
LAVAL-NANCY VILLE;25.0;112.0;148.0;
BELFORT-MONTBELIARD TGV-ECOLE VALENTIN;;25.5;34.0;
STRASBOURG-ECOLE VALENTIN;;58.0;76.0;
CHALON SUR SAONE-ECOLE VALENTIN;;30.0;41.0;
VENDOME VILLIERS SUR LOIR-TGV HAUTE PICARDIE;25.0;89.0;119.0;
BELFORT-MONTBELIARD TGV-ALBERTVILLE;25.0;89.0;108.0;
BONNEVILLE-LA ROCHE SUR FORON;;3.6;6.6;
ROSPORDEN-QUIMPER;;6.5;10.0;
BIARRITZ - MASSY TGV;25.0;123.0;173.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
HENDAYE - RUFFEC CHARENTE;;57.0;85.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
MARNE LA VALLEE CHESSY-MANTES LA JOLIE;;35.0;47.0;
MANTES LA J. TGV-LISIEUX;;37.0;45.0;
CAEN-MANTES LA J. TGV;;42.0;51.0;
NIMES-VALENCE TGV;15.0;41.0;55.0;
AIX EN PROVENCE TGV-BEZIERS;;46.0;61.0;
MARNE LA VALLEE CHESSY-LISIEUX;15.0;51.0;63.0;
MARSEILLE ST CHARLES-VALENCE TGV;15.0;48.0;69.0;
NIMES-LYON PART DIEU;15.0;60.0;78.0;
LILLE FLANDRES-JUVISY TGV;15.0;63.0;82.0;
CHERBOURG-AEROPORT CDG 2 TGV ROISSY;20.0;70.0;86.0;
LYON PART DIEU-SETE;20.0;70.0;93.0;
LORRAINE TGV-MARNE LA VALLEE CHESSY;20.0;77.0;110.0;
VALENCE-ST RAPHAEL VALESCURE;;73.0;107.0;
VALENCE TGV-SENS;25.0;83.0;116.0;
TGV HAUTE PICARDIE-ST PIERRE DES CORPS;25.0;89.0;119.0;
CANNES-LYON PART DIEU;25.0;86.0;121.0;
LE HAVRE-LYON PERRACHE;25.0;97.0;133.0;
CULOZ-PARIS NORD;25.0;89.0;127.0;
AGDE-BEAUNE;20.0;84.0;124.0;
TOULON-BEAUNE;25.0;87.0;121.0;
LORRAINE TGV-DOUAI;25.0;102.0;122.0;
FONTAINEBLEAU AVON-VALENCE TGV;25.0;93.0;133.0;
ANGERS ST LAUD-LILLE EUROPE;25.0;101.0;127.0;
MARSEILLE ST CHARLES-NEUFCHATEAU;25.0;98.0;140.0;
LYON PART DIEU-TGV HAUTE PICARDIE;25.0;106.0;146.0;
LORRAINE TGV-ST PIERRE DES CORPS;25.0;106.0;140.0;
LILLE EUROPE-ST NAZAIRE;25.0;108.0;140.0;
LILLE FLANDRES-LYON PART DIEU;25.0;116.0;154.0;
SAUMUR-VALENCE TGV;25.0;116.0;151.0;
AVIGNON-LE MANS;25.0;125.0;167.0;
GRENOBLE-TGV HAUTE PICARDIE;25.0;119.0;156.0;
TGV HAUTE PICARDIE-ALBERTVILLE;25.0;119.0;156.0;
LE MANS-BOURG ST MAURICE;25.0;120.0;162.0;
LE MANS-ST AVRE LA CHAMBRE;25.0;120.0;162.0;
ANGERS ST LAUD-ST AVRE LA CHAMBRE;25.0;120.0;161.0;
LE MANS-ANNEMASSE;25.0;120.0;162.0;
BAYEUX-CHAMBERY CHALLES LES EAUX;25.0;125.0;165.0;
CARENTAN-AIME LA PLAGNE;25.0;125.0;165.0;
ANNECY-RENNES;25.0;124.0;165.0;
ARRAS-ALBERTVILLE;25.0;127.0;167.0;
MOUTIERS SALINS BRIDES-DOUAI;25.0;127.0;167.0;
BREST-LYON PART DIEU;30.0;133.0;172.0;
LYON PERRACHE-MORLAIX;30.0;133.0;172.0;
AIX EN PROVENCE TGV-TGV HAUTE PICARDIE;30.0;136.0;174.0;
LANDRY-VANNES;30.0;137.0;179.0;
LORIENT-ALBERTVILLE;30.0;137.0;179.0;
ALBERTVILLE-AURAY;30.0;137.0;179.0;
LORIENT-AIX LES BAINS LE REVARD;30.0;137.0;179.0;
NIMES-NANTES;30.0;142.0;180.0;
DAX-LILLE EUROPE;30.0;144.0;174.0;
AIX EN PROVENCE TGV-ARRAS;30.0;144.0;184.0;
MORLAIX-SALLANCHES COMBLOUX MEGEVE;30.0;147.0;190.0;
BEZIERS-LILLE EUROPE;30.0;150.0;188.0;
TGV HAUTE PICARDIE-TOULOUSE MATABIAU;30.0;150.0;188.0;
BEZIERS-ARRAS;30.0;150.0;188.0;
FONTAINEBLEAU AVON-LYON ST EXUPERY;25.0;81.0;110.0;
LYON PART DIEU-VALENCE TGV;;30.0;38.0;
JUVISY-LILLE EUROPE;15.0;63.0;82.0;
MULHOUSE VILLE-BESANCON FRANCHE-COMTE TGV;15.0;38.0;49.0;
BELFORT-MONTBELIARD TGV-BESANCON FRANCHE-COMTE TGV;;25.5;34.0;
MULHOUSE VILLE-MACON VILLE;20.0;65.0;84.0;
COLMAR-LYON PART DIEU;20.0;85.0;110.0;
DIJON VILLE-MONTPELLIER;20.0;91.0;122.0;
CHALON SUR SAONE-SETE;;81.0;107.0;
DIJON VILLE-AVIGNON TGV;20.0;81.0;106.0;
CHALON SUR SAONE-ST RAPHAEL VALESCURE;25.0;116.0;151.0;
AVIGNON TGV-MACON VILLE;20.0;65.0;84.0;
BESANCON VIOTTE-MARSEILLE ST CHARLES;20.0;111.0;144.0;
AIX EN PROVENCE TGV-NANCY VILLE;25.0;117.0;151.0;
TOULON-TOUL;25.0;123.0;159.0;
LILLE FLANDRES-BESANCON FRANCHE-COMTE TGV;20.0;120.0;155.0;
CHAMPAGNE ARDENNE-NANCY VILLE;;42.0;57.0;
